Column,Life Risk,Life Savings,"Investment
contracts
with DPF",Non-Life,Total
As at 31 December 2024,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Insurance contracts,,,,,
• Insurance contract liabilities – Non-Life (PAA),-,-,-,"18,403,475","18,403,475"
• Insurance contract liabilities – Non-Life (GMM),-,-,-,"182,085","182,085"
• Insurance contract liabilities – Life (PAA),"937,339",-,-,-,"937,339"
• Insurance contract liabilities – Life (GMM),"25,355,136","27,259,919","91,300,091",-,"143,915,146"
Total,"26,292,475","27,259,919","91,300,091","18,585,560","163,438,045"
Reinsurance contracts,,,,,
• Reinsurance contract assets,"979,776",-,-,"6,776,159","7,755,935"
• Reinsurance contract liabilities,"5,093","4,669",-,"580,665","590,427"
Total,"984,869","4,669",,"7,356,824","8,346,362"
As at 31 December 2023,,,,,
Insurance contracts,,,,,
• Insurance contract liabilities – Non-Life (PAA),-,-,-,"18,817,611","18,817,611"
• Insurance contract liabilities – Non-Life (GMM),,,,"268,662","268,662"
• Insurance contract liabilities – Life (PAA),"735,973",-,-,-,"735,973"
• Insurance contract liabilities – Life (GMM),"17,016,235","22,099,020","74,764,952",-,"113,880,207"
Total,"17,752,208","22,099,020","74,764,952","19,086,273","133,702,453"
Reinsurance contracts,,,,,
• Reinsurance contract assets,"850,995",-,-,"6,937,251","7,788,246"
• Reinsurance contract liabilities,"1,400","1,379",-,"558,245","561,024"
Total reinsurance liabilities,"852,395","1,379",-,"7,495,496","8,349,270"
