Column,Industry,Insurance Company,Column,Column,Column,Column,Column,Column
,2009,2009,2010,2011,2012,2013,2014,2015
General Business,,,,,,,,
Gross written premium growth,17%,46%,23%,30%,20%,20%,20%,20%
Loss ratio,62%,64%,64%,66%,64%,64%,64%,64%
"Underwriting profit as a
percentage of gross premium",1%,6%,8%,6%,9%,10%,10%,10%
Long-term business,,,,,,,,
Life premiums growth rate,13%,7%,7%,33%,30%,24%,21%,19%
"Expenses as a percent of gross
premium income and deposit
administration contribution",19%,22%,22%,22%,20%,19%,18%,18%
"Profit before tax as a percentage
of gross premiums and deposit
administration contributions",7%,10%,9%,6%,4%,2%,3%,3%
Overall Insurance Company performance,,,,,,,,
"Return on equity (profit before
tax/shareholders funds)",17%,12%,14%,7%,6%,6%,7%,7%
"Return on equity (profit after
tax/shareholders funds)",13%,10%,12%,5%,4%,4%,5%,5%
