Column,Capital,Column,Solvency,Column
Capital management,2008,2007,2008,2007
,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Long-term,,,,
Regulatory requirement,"100,000","100,000","356,341","271,740"
Maintained by the Company,"180,000","180,000","229,620","(338,222)"
Short-term,,,,
Regulatory requirement,"200,000","200,000","54,191","40,059"
Maintained by the Company,"300,000","300,000","99,833","236,485"
Total,,,,
Regulatory requirement,"300,000","300,000","410,532","311,799"
Maintained by the Company,"450,000","480,000","329,453","(101,737)"
