Column,Group,Column,Company,Column
,2019,2018,2019,2018
,Shs’000,Shs’000,Shs’000,Shs’000
Fee income,,,,
- Arising on long term insurance contracts,"1,060","3,878",-,-
- Arising on short term insurance contracts,"118,445","75,972",-,-
Net foreign exchange (losses)/gains,"(1,643)","(6,294)",808,"(1,767)"
Gain on disposal of property and equipment,-,"1,977",-,"1,769"
Non-monetary loss/(gain),"(82,659)","31,346",-,-
Miscellaneous income,"21,363","88,263","8,831","10,425"
Total other income,"56,566","195,142","9,639","10,427"
