Column,Group,Column,Column,Column,Company,Column,Column,Column
,Stage 1,Stage 2,Stage 3,,Stage 1,Stage 2,Stage 3,
,"12-month
ECL","Lifetime
ECL","Lifetime
ECL",Total,"12-month
ECL","Lifetime
ECL","Lifetime
ECL",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
At 31 December 2018,"114,143","43,239","124,401","281,783","5,769",-,-,"5,769"
Net staging transfers,-,-,-,-,-,-,-,-
Changes in PDs/LGDs/EADs,"(66,444)","19,344","25,998","(21,102)",-,-,-,-
"Net charge to profit or loss
in the year","(66,444)","19,344","25,998","(21,102)","(3,960)",-,-,"(3,960)"
Write off,-,-,-,-,,-,-,
At 31 December 2019,"47,699","62,583","150,399","260,667","1,809",-,-,"1,809"
