Column,2010,2009,2008,2007,2006
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Receivables from direct insurance arrangements,,,,,
"Counterparties without external credit rating -
Group 2","161,277","196,757","198,090","238,683","130,504"
,"161,277","196,757","198,090","238,683","130,504"
Receivables from reinsurance arrangements,,,,,
"Counterparties without external credit rating -
Group 2","10,081","54,090","48,016","3,949","1,673"
,"10,081","54,090","48,016","3,949","1,673"
Financial assets that are past due or impaired,,,,,
Mortgage loans are summarised as follows:,,,,,
Neither past due nor impaired,"550,058","637,019","696,051","738,159","725,360"
Past due but not impaired,"26,406","22,858","17,296","28,143","6,629"
Impaired,"25,073","25,073","5,758","5,042","5,042"
Gross,"601,537","684,950","719,105","771,344","737,031"
Less: provision for impairment,"(25,073)","(25,073)","(5,758)","(5,042)","(5,042)"
Net,"576,464","659,877","713,347","766,302","731,989"
