Column,2008,Column,2007,Column,Column
,31.12.08,Movement,31.12.07,Movement,1.1.07
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Property and equipment:,,,,,
- on historical cost basis,"3,499","(1,227)","4,726",(163),"4,889"
- on revaluation surpluses,"(9,343)","(3,505)","(5,838)","(4,363)","(1,475)"
"Investment property fair value
gains","(164,635)","(52,598)","(112,037)","(25,019)","(87,018)"
Provisions,"(5,955)","(1,530)","(4,425)","(1,432)","(2,993)"
Deferred acquisition costs,"(10,398)","(4,643","(5,755)",(967),"(4,788)"
Tax losses carried forward,,,,,
"- British-American Insurance
Company (Kenya) Limited",-,"(716,326)","716,326","68,007","648,319"
"- British-American Asset
Managers Limited","6,320",-,"6,320","(2,811)","9,131"
"- British-American Investment
Company Limited","204,519","18,718","185,801","185,801",-
"Other deductible temporary
differences","(13,148)",-,"(13,148)",-,"(13,148)"
Retirement benefit asset,"7,112","10,924","(3,812)",(253),"(3,559)"
Less: Deferred tax asset not recognised:,,,,,
"British-American Insurance
Company (Kenya) Limited","(136,476)","439,561","(576,037)","(26,679)","(549,358)"
"British-American Investment
Company Limited","(204,519)","310,552","(185,801)","(185,801)",-
Net deferred tax asset,"186,548","768,905","582,357","32,999","549,358"
