Column,"Cash and
bank
balances","Deposits
with
financial
institutions","Loans and
receivables
from related
parties","Other
receivables",Total
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Balance as at 31 December 2018,14,"5,755",250,484,"6,503"
Net staging transfers,-,-,-,-,-
Changes in PDs/LGDs/EADs,-,-,-,-,-
New financial assets originated/purchased,(11),"(3,949)",(221),(484),"(4,665)"
Net charge to profit or loss in the year,(11),"(3,949)",(221),(484),"(4,665)"
Other movements with no P&L impact:,,,,,
Financial assets derecognised,-,-,-,-,-
Write-offs,-,-,-,-,-
Balance as at 31 December 2019,3,"1,806",29,-,"1,838"
Net staging transfers,,,,,
Changes in PDs/LGDs/EADs,5,"2,651","282,215","67,187","352,058"
New financial assets originated or purchased,,,,,
Net charge to profit or loss in the year,,,,,
Other movements with no P&L impact:,,,,,
Financial assets derecognised,-,-,-,-,-
Write-offs,-,-,-,-,-
Balance as at 31 December 2020,8,"4,457","282,244","67,187","353,896"
