No.,Shareholding,Column,Number of shareholders,Column,Shares held,Column,Percentage,Column,Column
1,1 to 500,,"2,281",,"645,063",,0.03%,,
2,501 to 5000,,"18,123",,"43,477,707",,,2.24,%
3,5001 to 10000,,"2,671",,"20,919,900",,1.08,,%
4,10001 to 100000,,"2,210",,"55,","086,316",2.84,,%
5,100001 to 1000000,,176,,"51,","412,179",2.65,,%
6,1000001 and above,,53,,"1,766,","874,673",91.16,,%
,Gra,nd totals,"25,514",,"1,938,415,838",,100.00,,%
,,areholders,,,,,,,
No.,Nam,es,,,Shares held,,Percenta,,ge
1,Plum,LLP,,,"452,504,000",,23.34,,%
2,Equity Holdings Limited,,,,"405,000,000",,20.89,,%
,Mr. Jimnah M. Mbaru,,,,"194,800,100",,10.05,,%
3,,,,,,,,,
4,Dr. Benson I. Wairegi,,,,"100,408,400",,5.18,,%
,Kenya Commercial Bank Nominees A/C 915B,,,,"96,959,585",,5.00,,%
5,,,,,,,,,
6,Dr. Peter K. Munga,,,,"75,000,000",,3.87,,%
7,Dr. James N. Mwangi,,,,"75,000,000",,3.87,,%
8,Co-op Bank Custody A/C 4012,,,,"60,000,000",,3.10,,%
9,Filimbi Limited,,,,"58,453,600",,3.02,,%
10,"Standard Chartered Nominees Non-Resd. A/C
Ke10085",,,,"39,349,800",,2.03,,%
11,Others,,,,380,",940,353",19.65,,%
,Grand totals,,,,"1,938",",415,838",100.00,,%
Investor Pool,,,Record,s,Shares held,,Percentage,,
Local institutions,,,79,5,"1,240,960,756",,65.03%,,
Local individuals,,,"24,605",,"597,362,961",,31.30%,,
Foreign investors,,,107,,"70,020,121",,3.67%,,
Grand totals,,,"25,517",,"1,938,415,838",,100.00%,,
