Column,Due on demand or,Column,Column,Column,Column
At 31 December 2010,0 – 4 months,5-12 months,1-5 years,Over 5 years,Totals
Months,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Liabilities,,,,,
Insurance contract liabilities,"632,145","1,170,819","3,373,660","1,169,574","6,346,198"
"Amounts payable under deposit
administration contracts","170,856","341,713","2,321","2,754,087","3,268,977"
Liabilities under investment contracts,"102,623","278,669","1,705,454","1,096,270","3,183,016"
"Creditors arising out of reinsurance
arrangements","60,011",-,-,-,"60,011"
Bank loan,-,-,"119,161","630,157","749,318"
Other payable,"194,351","103,964","120,093",-,"418,408"
Overdraft,"1,360",-,-,-,"1,360"
"Total financial liabilities (at contractual
maturity dates other than insurance
contracts liabilities which are based on
expected maturity) dates)","1,161,346","1,895,165","5,320,689","5,650,088","14,027,288"
Available for sale quoted investments,"5,979,690",-,-,-,"5,979,690"
"Investments at fair value through profit or
loss and loss:",,,,,
- quoted investments,"7,535,861",-,-,-,"7,535,861"
- unquoted investments,"50,490",-,-,-,"50,490"
- government securities,"65,227","29,485","211,331","55,317","361,360"
- Unit trusts,"374,009","52,843","855,343","2,983,417","4,265,612"
Government securities held to maturity,-,"37,093","340,668","1,731,453","2,109,214"
Corporate bond,196,-,"155,780","149,741","305,717"
Mortgage loans,"1,849","13,811","198,914","361,890","576,464"
Loans to policyholders,"15,465","46,680","240,801",472,"303,418"
"Receivables arising out of reinsurance
arrangements","10,081",-,-,-,"10,081"
"Receivables arising out of direct insurance
arrangements","161,277",-,-,-,"161,277"
Reinsurers’ share of insurance liabilities,"18,910","54,286","153,283","237,414","463,893"
Loans and receivables from related parties,"2,696",-,-,-,"2,696"
Other receivables,"156,296","124,130","102,069","6,052","388,547"
Deposits with financial institutions,"500,102",-,-,-,"500,102"
Cash and bank balances,"415,376",-,-,-,"415,376"
"Total financial assets (expected maturity
dates)","15,287,525","358,328","2,258,189","5,525,756","23,429,798"
