Column,Notes,"Share
Capital","Other
reserves","Retained
Earnings","Proposed
Dividends","Total
equity"
Year ended 31 December 2007,,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At 1 January 2007,,"150,000","711,527","444,524","60,000","1,366,051"
Total comprehensive income,,,,,,
Profit for the year,,-,-,"2,028,232",-,"2,028,232"
Other comprehensive income,,,,,,
Revaluation gain on building,15,-,"14,544",-,-,"14,544"
"Revaluation gain on available for sale quoted
investments",18(ii),-,"2,380,893",-,-,"2,380,893"
Deferred tax,,-,-,"9,134",-,"9,134"
Total comprehensive Income for the year,,,"2,395,437","2,037,366",,"4,432,803"
Transactions with owners,,,,,,
Dividends:,,,,,,
-Final for 2006,,-,-,-,"(60,000)","(60,000)"
-Proposed final for 2007,13,-,-,"(120,000)","120,000",-
Total transaction with owners,,-,,,,
,,-,-,"(120,000)","60,000","(60,000)"
At end of the year,,"150,000","3,106,963","2,361,890","120,000","5,738,854"
