No.,Names,Shares,Percentage
1,AfricInvest III-SPV-1,"442,779,881",17.55%
2,EH Venture Capital Kenya Limited,"405,000,000",16.05%
3,Standard Chartered Nominees Resd A/C KE003819,"398,504,000",15.79%
4,Standard Chartered Nominees Non-Resd. A/C Ke11396,"230,564,205",9.14%
5,Standard Chartered Nominees Non-Resd. A/C Ke11752,"224,187,697",8.88%
6,Mr. Jimnah M. Mbaru,"194,800,100",7.72%
7,Dr. Benson I. Wairegi,"101,356,300",4.02%
8,Dr. Peter K. Munga,"75,000,000",2.97%
9,Dr. James N. Mwangi,"75,000,000",2.97%
10,Genghis Nominees Limited A/C Ke038,"49,903,100",1.98%
11,Others,"326,391,533",12.93%
,Grand totals,"2,523,486,816",100.00%
