Column,Group,Column,Column,Company,Column,Column
,"Computer
software
costs","Internally
generated
software
development
costs",Total,"Computer
software
costs","Internally
generated
software
development
costs",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Cost,,,,,,
At 1 January 2018,"2,734,092","113,257","2,847,349","163,930","7,407","171,337"
Transfer to property and equipment (Note 21),"(4,330)",-,"(4,330)",-,-,-
Capitalised,"289,916","(283,035)","6,881","7,407","(7,407)",-
Additions,"141,332","225,506","366,838","2,261",-,"2,261"
Translation differences,"9,305",-,"9,305",-,-,-
At 31 December 2018,"3,170,315","55,728","3,226,043","173,598",-,"173,598"
At 1 January 2019,"3,170,315","55,728","3,226,043","173,598",-,"173,598"
Capitalised,"200,234","(181,483)","18,751",-,-,-
Additions,"225,706","122,718","348,424","16,762",-,"16,762"
Translation differences,"17,424","3,037","20,461",-,-,-
At 31 December 2019,"3,613,679",-,"3,613,679","190,360",-,"190,360"
"Accumulated amortisation and
impairment",,,,,,
At 1 January 2018,"751,944","1,818","753,762","44,114",-,"44,114"
Amortisation charge,"349,687","1,842","351,529","24,965",-,"24,965"
Translation differences,"(1,431)",,"(1,431)",-,-,-
At 31 December 2018,"1,100,199","3,660","1,103,859","69,079",-,"69,079"
Amortisation charge,"409,169",-,"409,169","26,107",-,"26,107"
Translation differences,"4,391","(3,660)",730,-,-,-
At 31 December 2019,"1,513,760",-,"1,513,758","95,186",-,"95,186"
Net book value,,,,,,
At 31 December 2018,"2,070,115","52,069","2,122,184","104,519",-,"104,519"
At 31 December 2019,"2,099,919",-,"2,099,919","95,174",-,"95,174"
