Column,Group,Column
,2019,2018
,Shs’000,Shs’000
Long term insurance business,,
- Ordinary life,"1,324,624","1,325,365"
- Group life,"115,325","145,607"
- Deposit administration,"62,381","89,247"
Total long term insurance business,"1,502,330","1,560,219"
Short term insurance business,,
- Engineering,"136,968","105,127"
- Fire,"303,686","269,682"
- Marine,"81,724","94,254"
- Motor,"456,530","437,056"
- Personal accident and medical,"552,897","494,235"
- Micro insurance,"77,139","70,347"
- Theft,"48,906","44,099"
- Others,"142,684","131,519"
Total short term insurance business,"1,800,534","1,646,319"
Asset management business,,
- Unit trust funds,"37,596","46,308"
- Discretionary and Wealth management,"120,862","61,076"
Total asset management business,"158,458","107,384"
Total commissions payable,"3,461,322","3,313,922"
