Column,Column,For the year ended,Column
,,2019,2018
,Notes,Shs’000,Shs’000
Cashflows from operating activities,,,
Cash generated from operations,47,"9,600,994","5,496,143"
Interest paid on lease liability,23,"(118,202)",-
Income tax paid,25,"(504,040)","(665,134)"
Net cash generated from operating activities,,"8,978,752","4,831,009"
Investing activities,,,
Purchase of property and equipment,21,"(312,738)","(168,403)"
Purchase of intangible assets,22,"(348,424)","(366,838)"
Purchase of investment property,27 (i),"(462,109)","(1,321,910)"
Purchase of property funds,27 (ii),"(362,953)","(63,586)"
Proceeds from disposal of property funds,27 (ii),"103,877","475,059"
Proceeds from disposal of fixed assets,,-,"11,205"
Purchase of quoted shares at fair value through profit or loss,29 (i),"(103,506)","(1,267,763)"
Proceeds of disposal of quoted ordinary shares at fair value through profit or loss,,"2,091,329","168,008"
Purchase of unit trusts,29 (iii),"(46,450)","(732,147)"
Proceeds from disposal of unit trusts,,"1,854,198","1,456,066"
Purchase of government securities at fair value through profit or loss,29 (iv),"(21,652,090)","(14,136,531)"
Proceeds from disposal of government securities at fair value through profit or loss,,"4,178,856","4,367,776"
Purchase government securities held at amortised cost,30 (i),"(1,048,984)","(1,924,719)"
Maturities of government securities at amortised cost,30 (i),"1,232,465","2,878,647"
Purchase of corporate bonds at amortised cost,30 (ii),-,"(2,500)"
Maturities of corporate bonds at amortised cost,30 (ii),"348,690","177,171"
Mortgage loans advanced,31,"(117,205)","(150,777)"
Mortgage loans repayments,31,"280,245","202,650"
Policy loans advanced,32,"(1,438,600)","(1,212,025)"
Policy loans repayments,32,"1,448,168","1,154,578"
Dividends received from associate,24,-,"59,754"
Dividends received from equity investments at fair value through profit or loss,6,"556,670","537,566"
Dividends received from equity investments at fair value through other comprehensive income,6,"270,339","270,338"
Rent and interest received,,"6,007,339","4,203,979"
Net cash used in investing activities,,"(7,520,883)","(5,384,402)"
Cash flows from financing activities,,,
Issue of new shares,16,-,"5,720,000"
Dividends paid,,-,"(756,911)"
Proceeds from borrowings,14,"3,563,831","2,774,000"
Repayment of bank loan,14,"(3,999,250)","(1,819,000)"
Repayment of medium term note,14,-,"(6,000,000)"
Interest paid,14,"(103,333)","(1,066,450)"
Payment of the principal portion of the lease liability,23(ii),"(65,207)",-
Net cash used in financing activities,,"(603,959)","(1,148,361)"
Increase in cash and cash equivalents,,"853,910","(1,701,754)"
Cash and cash equivalents at start of year,,"6,721,401","8,423,155"
Cash and cash equivalents at end of year,38 (i),"7,575,311","6,721,401"
