CDS Account,"A securities account opened with the Central Depository and Settlement Corporation Limited
(“CDSC” or “CDSC Limited”) for the purpose of recording the deposit and dealing of immobilized
securities;"
CDSC,"The Central Depository and Settlement Corporation Limited, the Kenyan company that owns and
manages the Central Depository System;"
CMA,"The Capital Markets Authority in Kenya, a statutory body incorporated under the Capital Markets Act
and includes anybody replacing it or any of its functions;"
Company or Issuer,British-American Investments Company (Kenya) Limited;
Companies Act,The Companies Act (Chapter 486 of the Laws of Kenya);
DA,Deposit Administration business;
Directors or the Board,Directors of the Company whose names appear on page 9 of this Prospectus;
DPS,Dividend per Share;
"East African Community
Partner States","The East African Community Partner States includes such states as may be deemed to be the members
from time to time of the East African Community. Currently the Partner States are Kenya, Uganda,
Tanzania, Rwanda and Burundi. Citizens of those States and corporate persons incorporated or
registered in those States, in which citizens of those States hold 100% of the beneficial interest should
therefore declare their status as local investors and provide supporting evidence;"
"East African Retail Investors or
Local Investors","In relation to an individual, a natural person who is a citizen of an East African Community Partner
State; and in relation to a body corporate, means a company incorporated under the Companies Act
of Kenya or such similar statute of an East African Community Partner State in which citizens of an
East African Community Partner State or the Government of an East African Community Partner
State have beneficial interest in one hundred per centum of its ordinary shares for the time being or any
other body corporate established or incorporated in an East African Partner State under the provisions
of any written law;"
EFT,Electronic Funds Transfer;
EPS,Earnings per Share;
Equity Bank,"Equity Bank Limited, a bank licensed by the Central Bank of Kenya and in which the Group holds an
11.03% equity stake, and which is one of the two appointed Receiving Banks for the Offer. (Refer to
Appendix 10.1 for List of Equity Bank Branches);"
Existing Shares,The Issued and fully paid Ordinary Shares of the Company as at the date of this Offer;
Existing Shareholders,All registered shareholders of the Company as at the date of this Offer;
Executive Director,A member of the Board of Directors who is an employee of the Company;
Foreign Investor,"Any person who is not a Local Investor or by inference an East African Retail Investor or Qualified
Institutional Investor;"
Foreseeable Future,Means nine months subsequent to the date of the publication of the prospectus;
GDP,Gross Domestic Product;
GPI,Gross Premium Income;
Greenfield Operations,Setting up of new start-up operations;
Group,"The Company and its subsidiaries identified in Section 8.4 (Information on British-American
Investment Company (Kenya) Limited and its Subsidiaries);"
Housing Finance,"Housing Finance Company of Kenya Limited, a mortgage institution licensed by the Central Bank of
Kenya in which the Group holds 16.57% equity stake;"
IAS or IFRS,International Accounting Standards (also referred to as International Financial Reporting Standards);
ICT,Information and Communication Technology;
IRA,Insurance Regulatory Authority;
Insurance Company,British-American Insurance Company (Kenya) Limited;
Issuer,"British-American Investments Company (Kenya) Limited, the Company offering the Offer Shares;"
