Column,Column,As at 31 December,Column
,Notes,2019,2018
,,Shs’000,Shs’000
CAPITAL EMPLOYED,,,
Share capital,16,"252,344","252,344"
Share premium,16,"13,237,451","13,237,451"
Other reserves,17,"4,219,804","2,564,331"
Retained earnings,18,"1,766,774","82,582"
Shareholders’ funds,,"19,476,373","16,136,708"
REPRESENTED BY:,,,
Assets,,,
Property and equipment,21,"189,404","78,053"
Intangible assets,22,"95,174","104,519"
Right of use asset,23 (i),"167,938",-
Investment in associate,24 (i),"1,151,794","1,176,935"
Investment in subsidiary companies,26 (ii),"7,417,447","6,999,737"
Investment in property funds,27 (ii),"616,330","759,164"
Quoted ordinary shares at fair value through other comprehensive income,28,"4,759,746","3,100,508"
Financial assets at fair value through profit or loss,29,"4,478,722","3,159,349"
Receivables from related parties,51,"825,990","1,223,834"
Other receivables,37,"48,180","47,902"
Current income tax recoverable,,"3,879",-
Cash and cash equivalents,38 (i),"1,458,153","1,310,543"
Total assets,,"21,212,757","17,960,544"
Liabilities,,,
Lease liability,23(ii),"208,294",-
Borrowings,14,"861,928","1,174,807"
Amounts due to related parties,51,"551,803","337,380"
Other payables,46,"114,359","311,649"
Total liabilities,,"1,736,384","1,823,836"
Net assets,,"19,476,373","16,136,708"
