Details,Statistics
Offer price per Offer Share,Kshs 9/=
Par value of each Share before the share split,Kshs 5/=
Proposed Share split,50:1
Par value of each Offer Share,Kshs 0.10/=
Authorised Share capital of the Company before Offer,"Kshs 150,000,000"
Authorised Share capital of the Company after the Offer,"Kshs 300,000,000"
Total number of issued Shares before the share split,"30,000,000"
Total number of issued Shares after the share split,"1,500,000,000"
Total number of Offer Shares,"650,000,000"
Total number of Shares post Offer assuming full subscription,"2,150,000,000"
Gross proceeds from the Offer,"Kshs 5,850,000,000"
Estimated net proceeds receivable by the Company,"Kshs 5,530,225,000"
Net profit for the twelve (12) months ended 31 December 2010,"Kshs 2,713,784,000"
Comprehensive Income 12 months ended 31 December 2010,"Kshs 5,482,882,000"
Dividend declared and paid for the twelve (12) months ended 31 December 2010,"Kshs 200,000,000"
Dividend per Share (“DPS”) for the twelve (12) month period ended 31 December 2010 before share split,Kshs 6.67/=
Dividend per Share (“DPS”) for the twelve (12) month period ended 31 December 2010 after share split,Kshs 0.13/=
Earnings per Share (“EPS”) for the twelve (12) month ended 31 December 2010 before share split,Kshs 90.46/=
"Earnings per Share (“EPS”) based on Comprehensive Income for the twelve (12) months ended 31
December 2010 before share split",Kshs 182.76/=
Earnings per Share (“EPS”) for the twelve (12) month ended 31 December 2010 after share split,Kshs 1.81/=
"Earnings per Share (“EPS”) based on Comprehensive Income for the twelve (12) month ended 31
December 2010 after share split",Kshs 3.66/=
Net asset value per Share before the Offer for the year ended 31 December 2010,Kshs 352.33/=
Net asset value per Share after the share split and before the Offer for the year ended 31 December 2010,Kshs 7.05/=
Implied dividend yield based on the DPS for the twelve (12) month period ended 31 December 2010,1.48%
Implied PE (historical) based on the EPS for the twelve (12) month period ended 31 December 2010,4.97
"Implied PE (historical) based on Comprehensive Income for the twelve (12) month period ended 31
December 2010",2.46
Forecast full year net profits as at 31 December 2011,"Kshs 1,028,138,000"
"Implied Forecast Earnings per Share (“EPS”) based on existing and new issued Ordinary Shares for the
twelve (12) month period ended 31 December 2011",Kshs 0.48/=
Forecast DPS as at 31 December 2011,Kshs 0.17/=
"Implied dividend yield based on the forecast DPS for the twelve (12) month period ended 31 December
2011",1.86%
Implied PE as at 31 December 2011 based on Forecast EPS,13.13
Net asset value per Share after the Offer,Kshs 7.49/=
"Dilution (amount and percentage) being the difference between offering price per share and the net book
value per Share","Kshs 1.51/= per share or
16.79%"
Amount and percentage of immediate dilution if existing shareholders do not subscribe the Offer,30.23%
Price to Book Value as at 31 December 2010,1.28
Price to Book Value after the Offer,1.20
