Column,Notes,"Share
Capital","Other
reserves","Retained
Earnings","Proposed
Dividends","Total
equity"
Year ended 31 December 2009,,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At start of the year,,"150,000","3,728,524","2,448,941","120,000","6,447,465"
Total comprehensive income for the year,,,,,,
Loss for the year,,-,-,"(421,123)",-,"(421,123)"
Other comprehensive income:,,,,,,
Gains on revaluation of land and buildings,15,-,"32,755",-,-,"32,755"
"Fair value gains on available-for-sale
financial assets",18(ii),-,"(731,999)",-,-,"(731,999)"
Total other comprehensive income,,,"(699,244)",,,"(699,244)"
Total comprehensive income for the year,,-,"(699,244)","(421,123)",-,"(1,120,367)"
Transfer to other reserves,12,,"177,926","(177,926)",-,-
Transactions with owners,,,,,,
Dividends:,,,,,,
- Final for 2008 paid,,-,-,-,"(120,000)","(120,000)"
- Proposed final for 2009,13,-,-,"(120,000)","120,000",-
Total transactions with owners,-,-,-,"(120,000)",-,"(120,000)"
At end of year,,"150,000","3,207,206","1,729,892","120,000","5,207,098"
