Expense,Total(Kshs)*
Transaction Advisor costs,"24,270,000"
Sponsoring Broker,"6,090,000"
Legal costs,"9,280,000"
Reporting Accountants costs,"3,713,272"
Selling commission,"**87,750,000"
CMA approval fees,"8,775,000"
NSE admission fees,"1,500,000"
Public Relations costs,"67,201,626"
Advertising costs including advertising firm’s fee*,"90,599,360"
Printing costs,"3,886,000"
Registrar fees,"1,534,680"
Receiving Bank fees,"2,436,000"
Other consultants fees (Actuaries),"2,995,062"
Processing centre costs,"9,744,000"
Total,"319,775,000"
