Column,Group,Column,Company,Column
,2019,2018,2019,2018
,Shs’000,Shs’000,Shs’000,Shs’000
Profit/(loss) before income tax,"4,571,023","(2,295,870)","1,702,125","(749,462)"
Adjustments for:,,,,
Depreciation of leasehold improvements and equipment (Note 21),"312,339","316,697","23,869","12,171"
Depreciation of right of use asset (Note 23),"220,007",-,"46,389",-
Amortisation of intangible assets (Note 22),"409,169","351,529","26,107","24,965"
Net loss/(income) from investment properties (Note 5),"747,036","(507,207)","74,548",8
Interest and dividend income (Note 6),"(7,713,830)","(6,160,381)","(1,250,942)","(1,416,620)"
Net realised gains on financial assets (Note 7),"(477,661)","(41,898)","(98,621)","(7,376)"
"Net fair value gains on financial assets at fair value through profit or
loss (Note 8)","(4,300,055)","3,091,171","(1,447,070)","1,029,259"
Translation differences,"84,302","(25,052)",(808),"1,767"
Share of loss of the associate (Note 24(ii)),"53,099","289,657","21,376","116,593"
Finance costs (Note 14),"234,667","905,567","649,426","716,501"
Gain on disposal of fixed assets,-,"(1,977)",-,"(1,769)"
"Provision for expected credit losses cash and cash equivalents (Note
38(i))","155,634","251,036","1,809","5,769"
Changes in:,,,,
- Receivables arising out of direct insurance arrangements,"627,705","(155,727)",-,-
- Receivables from related party,-,-,"397,842","(879,842)"
- Re-insurers’ share of insurance liabilities,"(597,200)","581,855",-,-
- Receivables arising out of reinsurance arrangements,"200,597","(57,833)",-,-
- Unearned premiums,"661,516","124,181",-,-
- Retirement benefit asset,"42,757","10,371",-,-
- Other payables,"159,274","(824,904)","(197,281)","213,708"
- Deferred acquisition costs,"(43,944)","(17,905)",-,-
- Other receivables,"320,440","(299,665)",(277),"604,916"
- Payable to related party,-,-,"214,422","130,972"
- Insurance contract liabilities,"5,562,940","4,325,180",-,-
- Liabilities under investment contracts,"(1,185)","(1,022,182)",-,-
- Payable under deposit administration contracts,"8,341,044","6,157,249",-,-
- Payables arising out of reinsurance arrangements,"66,327","500,661",-,-
- Payables arising out of direct insurance arrangements,-,-,-,-
- Restricted cash,"(35,007)","1,590",-,-
Cash generated from/ (used in) operations,"9,600,994","5,496,143","162,914","(198,440)"
