Column,At 31-Dec-10 and 31-Dec-09,Column,Pre IPO,Column,Post-IPO,Column
Shareholder,"Number of
shares","%
Shareholding","Number of
shares","%
Shareholding","Number of
shares",% Shareholding
"British American (Kenya)
Holdings Limited","11,000,080",36.67%,"452,504,000",30.17%,"452,504,000",21.05%
Equity Holdings Limited,"8,100,000",27.00%,"405,000,000",27.00%,"405,000,000",18.84%
Jimnah M. Mbaru,"6,000,000",20.00%,"300,000,000",20.00%,"300,000,000",13.95%
Benson I. Wairegi,"1,899,920",6.33%,"99,496,000",6.63%,"99,496,000",4.63%
Filimbi Ltd,-,-,"90,000,000",6.00%,"90,000,000",4.19%
Peter K. Munga,"1,500,000",5.00%,"75,000,000",5.00%,"75,000,000",3.49%
James N. Mwangi,"1,500,000",5.00%,"75,000,000",5.00%,"75,000,000",3.49%
Simon I. Wairegi,-,-,"3,000,000",0.20%,"3,000,000",0.14%
IPO shares,-,-,-,-,"650,000,000",30.23%
Total,"30,000,000",100%,"1,500,000,000",100%,"2,150,000,000",100%
