Maximum insured loss,Column,Column,Column,Column,Column,Column
Class of business,,Shs Millions,0 – 15,15 - 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
"muS
–
ssenisub
derussa
ecnarusnI
lareneG",Motor,Gross,"133,555,161","17,329,093","34,800,556","185,684,810"
,,Net,"89,516,601","15,627,736","31,348,112","136,492,449"
,Fire,Gross,"61,623,518","209,548,537","1,818,448,893","2,089,620,948"
,,Net,"37,202,873","290,221,455","771,565,752","1,098,990,080"
,Personal accident,Gross,"9,310,234","52,679,117","292,939,305","354,928,656"
,,Net,"9,026,447","23,685,831","81,952,671","114,664,949"
,Other,Gross,"35,475,776","180,521,906","643,412,424","859,410,106"
,,Net,"28,420,682","96,776,333","(136,633,825)","(11,436,810)"
"mret ssenisub
gnoL",Ordinary life,Gross,"215,227,162","2,863,170",-,"218,090,332"
,,Net,"199,185,779","721,000",-,"199,906,779"
,Group life,Gross,"252,418,775","45,273,700","547,856,290","845,548,765"
,,Net,"247,765,013","22,851,874","510,159,062","780,775,949"
,Total,Gross,"707,610,626","508,215,523","3,337,457,468","4,553,283,617"
,,Net,"611,117,395","449,884,229","1,258,391,772","2,319,393,396"
