Column,Column,Column,2024,Column,Column,2023
,"Full retro-
spective
approach at
transition","Fair value
approach at
transition",,"Full retro-
spective
approach at
transition","Fair value
approach at
transition",
Life Risk,"Full
retrospective
approach at
transition
Shs’000","Fair
value
approach at
transition
Shs’000","Total
Shs’000","Full
retrospective
approach at
transition
Shs’000","Fair
value
approach at
transition
Shs’000","Total
Shs’000"
CSM as at 1 January,"1,692,732","47,196","1,739,928","1,210,614","27,766","1,238,380"
"Changes that relate to
current service",,,,,,
"CSM recognised in profit or
loss for the services provided","(631,543)","(20,514)","(652,057)","(727,431)","(7,648)","(735,079)"
"Changes that relate to
future service",,,,,,
"Contracts initially rec-
ognised in the period","1,197,481",2,"1,197,483","843,531",-,"843,531"
"Changes in estimates that
adjust the CSM","(55,343)","67,424","12,081","185,059","23,788","208,847"
,"510,595","46,912","557,507","301,159","16,140","317,299"
"Finance expenses from in-
surance contracts issued","358,759","6,240","364,999","185,395","3,290","188,685"
"Total amounts recognised in
comprehensive income","869,354","53,152","922,506","486,554","19,430","505,984"
Other movements,"(4,135)",-,"(4,135)","(4,436)",,"(4,436)"
CSM as at 31 December,"2,557,951","100,348","2,658,299","1,692,732","47,196","1,739,928"
