Column,"Mr. Andrew
Hollas","Dr. Peter
K. Munga","Mr. Jimnah
Mbaru","Mr. Mohamed
Karama","AfricInvest
III SPV I
represented by
Mr George Odo"
15 January 2021,√,√,√,√,√
27 January 2021,√,√,√,√,√
5 February 2021,-,√,√,√,√
1 March 2021,-,√,√,√,√
15 March 2021,-,√,√,√,√
19 March 2021,-,√,√,√,√
23 April 2021,-,√,√,√,√
17 May 2021,-,√,√,√,√
31 May 2021,-,√,√,√,√
7 June 2021,-,√,√,√,√
22 June 2021,-,√,√,√,√
29 June 2021,-,√,√,√,√
5 July 2021,-,√,√,√,√
25 August 2021,-,√,√,√,√
15 October 2021,-,√,√,√,√
18 November 2021,-,√,√,√,√
24 November 2021,-,√,√,√,√
15 December 2021,-,√,√,√,√
