Column,% holding in equity shares,Column,2019,2018
,2019,2018,Shs’000,Shs’000
Britam Life Assurance (Kenya) Limited,100%,100%,"180,000","180,000"
Britam Asset Managers (Kenya) Limited,100%,100%,"80,000","80,000"
Britam Insurance Company (Uganda) Limited,100%,100%,"500,000","500,000"
Britam Insurance Company Limited (South Sudan),100%,100%,"391,711","391,711"
Britam Insurance Company (Rwanda) Limited,100%,100%,"868,795","671,688"
Britam Properties (Kenya) Limited,100%,100%,"50,100","50,100"
Britam General Insurance (Kenya) Limited,100%,100%,"3,925,282","3,925,282"
Britam Insurance Company Limited (Malawi),100%,100%,"461,539","461,539"
Britam Insurance (Tanzania) Limited,55%,55%,"303,430","299,335"
Britam - Companhia De Seguros De Mozambique S.A.,98%,98%,"531,728","315,220"
Britam Asset Managers (Uganda) Limited,100%,100%,"124,862","124,862"
Total investment at Company level,,,"7,417,447","6,999,737"
Britam Properties (Uganda) Limited*,100%,100%,"102,776","102,776"
Britam Tower LLP**,100%,100%,"8,040,905","8,275,933"
Total,,,"15,561,128","15,378,446"
