Column,30-Jun-13,31-Dec-12,30-Jun-12,31-Dec-11,31-Dec-10,31-Dec-09
CAPITAL EMPLOYED,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Share capital,,,,,,
Share premium,"3,164,455","3,164,455","3,164,455","3,164,455",-,-
Other reserves,,,,,,
Retained earnings,"5,058,684","2,900,342","3,082,059","1,388,926","4,092,044","1,729,892"
Proposed dividends,,,,,,
Shareholders’ funds,"16,506,325","12,472,324","11,085,549","8,557,448","10,569,980","5,207,098"
REPRESENTED BY:,,,,,,
Assets,,,,,,
Property and equipment,"1,037,582","948,236","667,424","653,360","581,420","520,933"
Intangible assets,,,,,,
Investment in associate,"1,529,667","1,459,826","1,433,582","1,360,608",,
Investment property,,,,,,
Available for sale quoted investments,"4,618,125","4,937,397","4,896,617","3,409,402","5,979,690","3,282,105"
Financial assets at fair value through,,,,,,
profit or loss,,,,,,
Financial assets held to maturity,"7,997,436","7,194,138","6,518,970","4,657,782","2,414,931","1,861,391"
Mortgage and Policy holder loans,,,,,,
Receivables,"3,941,286","3,366,903","3,038,805","1,185,106","1,023,798","686,295"
Deferred acquisition costs,,,,,,
Deferred income tax,"4,198","4,198","3,981","3,982","11,789","22,662"
Tax recoverable,,,,,,
Receivables from related parties,"16,469","5,075","4,626","9,106","2,696","33,060"
Deposits with financial institutions,,,,,,
Cash and bank balances,"282,681","415,814","442,762","425,339","415,376","193,040"
