Column,Group,Column
,2019,2018
,Shs’000,Shs’000
Long term insurance contracts,,
- Claims reported and claims handling expenses,"475,696","765,587"
- Actuarial value of long term liabilities (Note 42 (ii)),"26,480,894","21,328,975"
Total – long term,"26,956,590","22,094,562"
Short term insurance contracts,,
- Claims reported and claims handling expenses (Note 41),"3,796,365","3,416,259"
- Claims incurred but not reported (Note 41),"3,031,447","2,710,640"
Total – short term (Notes 41),"6,827,812","6,126,899"
Total gross insurance liabilities,"33,784,402","28,221,461"
