Group 2019,Column,Level 1,Level 2,Level 3,Total
,Note,Shs’000,Shs’000,Shs’000,Shs’000
Assets,,,,,
Financial assets at fair value through profit or loss,,,,,
- Quoted ordinary shares,29(i),"11,587,595",-,-,"11,587,595"
- Unquoted ordinary shares,29(ii),-,-,"9,649","9,649"
- Government securities,29(iv),-,"42,758,237",-,"42,758,237"
- Unit trusts,29(iii),-,"3,396,349",-,"3,396,349"
"Quoted ordinary shares at fair value through other
comprehensive income",28,"7,231,563",-,-,"7,231,563"
Property and equipment – building (Note 23),21,-,"414,781",-,"414,781"
Investment in property funds,27(ii),-,"652,291",-,"652,291"
Investment property,27(i),-,"6,062,202","9,700,000","15,762,202"
Total assets,,"18,819,158","53,283,860","9,709,649","81,812,667"
Liabilities,,,,,
Payable under deposit administration contracts,43,-,"42,515,955",-,"42,515,955"
Liabilities under investment contracts,44,-,"3,002,142",-,"3,002,142"
Total Liabilities,,,"45,518,097",-,"45,518,097"
