Column,"Share in Real
GDP in 2010
(%)",2010,2009,2008,2007,2006
"Agriculture, forestry & fishing",22.0,6.3,(2.4),(2),7.4,2.60
Mining & quarrying,0.7,(4.2),(4.2),3.2,12.90,4.10
Manufacturing,10.0,4.4,2.0,3.8,6.50,6.30
Electricity & water supply,2.4,(3.1),(3.1),5.2,9.10,(1.40)
"Wholesale & retail trade, repairs",10.3,7.8,1.5,5.1,11.50,11.60
Hotels & restaurants,1.7,17.9,42.8,(36.1),16.30,14.90
Buildings & constructions,4.3,4.5,14.1,8.3,6.90,6.30
Transport & communications,9.8,6.9,6.4,3.1,15.1,11.40
Financial intermediation,5.6,8.8,4.6,3.1,6.70,4.80
"Real estate, renting & business services",4.8,3.0,3.0,3.7,3.50,3.90
Public administration & defence,4.7,1.6,1.6,0.6,(2.00),(1.60)
Education,5.7,2.7,2.7,5.8,3.70,0.30
Health & social work,2.6,4.4,4.4,3.6,3.20,3.30
"Other community, social & personal services",3.3,4.4,4.4,3.0,3.40,4.30
Private households with employed persons,0.4,2.0,2.0,2.00,2.00,2.00
Less: Financial services indirectly measured,(0.8),21.7,21.7,(0.75),2.70,5.10
Total GDP at basic 2001 prices,87.5,2.3,2.3,0.9,6.20,5.60
Taxes less subsidies on products,12.5,4.6,4.6,6.7,13.40,11.20
Real GDP at 2001 market price,100.0,2.6,2.6,1.7,7.00,6.40
