Column,2019,2018
,Shs’000,Shs’000
Interest income,"5,116,580","6,045,521"
Interest expense,"(3,148,869)","(3,779,848)"
Impairment losses on mortgages and advances,"(350,441)","(375,908)"
Other income,"1,405,330","1,327,998"
Other expenses,"(3,160,402)","(3,860,507)"
Loss before income tax,"(137,802)","(642,744)"
Income tax,"27,694","44,526"
Loss after tax,"(110,108)","(598,218)"
"Other comprehensive income, net of tax","72,973","43,125"
Total comprehensive loss for the year,"(37,135)","(555,093)"
