"1,626,018","1,992,785","1,350,727","4,969,530","1,502,006","1,846,509","952,563","4,301,078"
"51,355","575,100","471,640","1,098,095","89,934","335,837","325,625","751,396"
"1,511,475","183,696","291,940","1,987,111","1,202,127","334,832","246,221","1,783,180"
"143,703","492,542","102,082","738,327","192,100","433,387","161,522","787,009"
"40,258","142,750","91,671","274,679","84,655","179,914","73,236","337,805"
361,"6,203","307,288","313,852",603,"37,533","292,953","331,089"
"15,860","103,225","45,041","164,126","17,297","110,893","50,800","178,990"
"118,291","446,279","36,084","600,654","135,162","164,964","3,822","303,948"
"39,455","63,877","55,961","159,293","33,637","88,269","50,386","172,292"
"77,073","94,508","53,630","225,211","89,456","85,573","19,560","194,589"
-,"17,857","130,072","147,929",-,"6,509","117,475","123,984"
-,"8,655","127,878","136,533",-,"3,067","64,632","67,699"
"15,729","23,203","4,972","43,904","4,832","10,744","2,475","18,051"
358,"6,114","61,319","67,791","2,445","7,404","72,042","81,891"
-,"14,697","51,342","66,039",-,"16,593","63,920","80,513"
-,-,"636,519","636,519",-,-,"656,796","656,796"
"3,639,936","4,171,491","3,818,166","11,629,593","3,354,254","3,662,028","3,154,028","10,170,310"
"3,639,936","4,171,491",-,"7,811,427","3,354,254","3,662,028",-,"7,016,282"
-,-,"3,818,166","3,818,165",-,-,"3,154,028","3,154,028"
"3,639,936","4,171,491","3,818,166","11,629,593","3,354,254","3,662,028","3,154,028","10,170,310"
