Shs'000,"Liabilities for remaining
coverage",Column,Liabilities for incurred claims,Column,"Total
Shs'000"
,"Excluding
loss
component","Loss
component","Estimates of
present value
of future cash
flows","Risk
adjustment
for non-
financial risk",
Opening insurance contract assets,"(3,725)",-,"1,398",129,"(2,198)"
Opening insurance contract liabilities,"4,661,292","189,362","11,015,106","843,685","16,709,445"
Net opening balance,"4,657,567","189,362","11,016,504","843,814","16,707,247"
Insurance revenue,,,,,
Full Retrospective approach,"(25,497,902)",-,-,-,"(25,497,902)"
Total Insurance revenue,"(25,497,902)",-,-,-,"(25,497,902)"
"Incurred insurance service expenses:
Claims
Expenses
Other movements related to current service
Amortisation of insurance acquisition cash flows
Changes that relate to past service (changes in
fulfilment cash flows re LIC)
Changes that relate to future service
Losses for the net outflow recognized on initial
recognition
Losses and reversal of losses on onerous contracts -
subsequent measurement",-,"917,892","10,520,868","354,382","11,793,142"
,-,"917,892","10,331,628","467,427","11,716,947"
,-,-,"189,240","32,718","221,958"
,-,-,-,"(145,763)","(145,763)"
,"3,595,384",-,-,-,"3,595,384"
,-,-,"(379,728)","(351,683)","(731,411)"
,-,"(808,584)",-,-,"(808,584)"
,-,"552,405",-,-,"552,405"
,-,"(1,360,989)",-,-,"(1,360,989)"
Total insurance service expenses,"3,595,384","109,308","10,141,140","2,699","13,848,531"
Total insurance service result,"(21,902,518)","109,308","10,141,140","2,699","(11,649,371)"
"Insurance finance income or expense
The effect of and changes in time of time value of
money and financial risk
Foreign exchange differences on change",,,,,
,-,"3,128","535,363","41,581","580,072"
,-,-,"456,495","16,680","473,175"
Total insurance finance income or expense,-,"3,128","991,858","58,261","1,053,247"
"Total changes in the statement of financial profit
or loss","(21,902,518)","112,436","11,132,998","60,960","(10,596,124)"
