At 31 December 2018,Column,"At amortised
cost","At fair value
through
profit or loss","At fair value
through other
comprehensive
income",Total
,,Shs’ 000,Shs’ 000,Shs’ 000,Shs’ 000
Financial assets,,,,,
Quoted ordinary shares,"28,29(i)",-,"9,743,172","4,710,653","14,453,825"
Unquoted ordinary shares,29(ii),-,"9,619",-,"9,619"
Government securities,"29(iv),30(i)","15,212,824","24,798,519",-,"40,011,343"
Corporate bonds,30(ii),"944,194",-,-,"944,194"
Unit trusts,29(iii),-,"4,730,625",-,"4,730,625"
Investment in property funds,27(ii),-,"575,020",-,"575,020"
Other receivables,37,"1,944,610",-,-,"1,944,610"
Investment in liquid funds,38(i),"1,063,596",-,-,"1,063,596"
Mortgage loans and receivables,31,"1,209,394",-,-,"1,209,394"
Loans and receivables to policyholders,32,"1,301,118",-,-,"1,301,118"
Receivables arising out of reinsurance arrangements,33(i),"703,320",-,-,"703,320"
"Receivables arising out of direct insurance
arrangements",33(iii),"2,317,194",-,-,"2,317,194"
Restricted cash,38(ii),"45,601",-,-,"45,601"
Deposits with financial institutions,38(i),"3,216,913",-,-,"3,216,913"
Cash and bank balances,38(i),"2,691,928",-,-,"2,691,928"
Total financial assets,,"30,650,692","39,856,955","4,710,653","75,218,300"
Financial liabilities,,,,,
Payable under deposit administration contracts,43,-,"34,174,911",-,"34,174,911"
Liabilities under investment contracts,44,-,"3,003,326",-,"3,003,326"
Borrowings,14,"2,786,861",-,-,"2,786,861"
Payables arising from reinsurance arrangements,33(ii),"1,252,887",-,-,"1,252,887"
Other payables,46,"2,726,947",-,-,"2,726,947"
,,"6,766,695","37,178,237",-,"43,944,932"
