Column,Notes,"2010
Kshs’000","2009
Kshs’000","2008
Kshs’000","2007
Kshs’000","2006
Kshs’000"
Gross earned premiums,5,"4,333,428","3,782,606","3,167,289","2,509,775","2,018,213"
Less: reinsurance premium ceded,,"(674,672)","(504,552)","(376,378)","(501,311)","(385,426)"
Net earned premium,,"3,658,756","3,278,054","2,790,911","2,008,464","1,632,787"
Fund management fees,,"195,852","118,404","153,683","150,666","68,313"
"Net earned premiums and manage-
ment fee",,"3,854,608","3,396,458","2,944,594","2,159,130","1,701,100"
Investment income,6,"4,684,634","196,169","509,137","2,492,568","1,109,349"
Commissions earned,,"209,514","176,739","196,611","160,986","102,910"
Other income,7,"220,439","32,135","35,105","37,317","18,454"
Net income,,"8,969,195","3,801,501","3,685,447","4,850,001","2,931,813"
Claims and policy holder benefits payable,,"4,084,669","2,134,171","1,718,322","1,571,564","1,578,183"
Less: Amount recoverable from reinsures,,"(266,562)","(160,676)","(156,268)","(154,502)","(141,610)"
"Net claims and policyholder benefits
payable",8,"3,818,107","1,973,495","1,562,054","1,417,062","1,436,573"
Operating and other expenses,9,"1,316,822","1,222,876","921,790","695,205","595,329"
Commissions payable,,"960,677","939,464","861,536","625,556","413,546"
Profit/ (loss) before income tax,,"2,873,589","(334,334)","340,067","2,112,178","486,365"
Income tax expense,11,"(159,805)","(86,789)","(97,500)","(83,946)","(42,066)"
Profit / (loss) for the year after tax,,"2,713,784","(421,123)","242,567","2,028,232","444,299"
Basic and diluted earnings per share (Shs),13,90.46,(14.04),8.09,67.61,14.81
