Year ended 31 December 2024,Column,Column,Column,Column,Column,Column
Maximum insured loss,,,,,,
Class of business,,Shs Millions,0 – 15,15 – 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
"Non life Insurance
business – Sum
assured",,Gross,"132,138,880","350,898,237","4,322,011,997","4,805,049,114"
,,Net,"126,195,609","301,505,240","1,046,847,676","1,474,548,525"
Life term business,Ordinary Life,Gross,"238,276,872","7,860,978",‑,"246,137,850"
,,Net,"237,933,631","2,900,000",‑,"240,833,631"
,Annuities,Gross,"2,566,278",‑,‑,"2,566,278"
,Unit Linked,Gross,"3,149,556",‑,‑,"3,149,556"
,,Net,"3,149,556",‑,‑,"3,149,556"
,Credit Life,Gross,"298,690,466","23,280,706",‑,"321,971,172"
,,Net,"285,664,187","(460,028)",‑,"285,204,159"
,Group Life,Gross,"1,909,737","20,290,754","226,210,421","248,410,912"
,,Net,"2,458,931","17,755,801","131,784,620","151,999,352"
Total,,Gross,"676,731,789","402,330,675","4,548,222,418","5,627,284,882"
,,Net,"655,401,914","321,701,013","1,178,632,296","2,155,735,223"
