Column,Life Risk,"Life
Savings","Investment
contracts
with DPF",Non-Life,Total
Year ended 31 December 2022,Shs'000,Shs'000,Shs'000,Shs'000,Shs'000
"The effect of time value of money and changes in the time
value of money, based on the locked-in interest rates:","(1,756,097)","(2,505,906)","(1,577)","(773,593)","(5,037,173)"
Interest accreted on the carrying amount of the CSM,"(212,446)","(603,331)",-,"(38,381)","(854,158)"
Interest accreted on present value cash flows,"(1,512,141)","(1,836,764)","(1,577)","(667,779)","(4,018,261)"
Interest accreted on risk adjustment,"(31,510)","(65,811)",-,"(67,433)","(164,754)"
The effect of financial risk and changes in financial risk,"671,183","1,038,100",(103),"11,246","1,720,426"
"Foreign exchange differences on changes in the carrying amount
of groups of insurance contracts
Changes in fair value of underlying items of direct participating
contracts",-,-,-,"(176,939)","(176,939)"
,-,-,"(6,065,143)",-,"(6,065,143)"
Total insurance finance expense from insurance contracts,"(1,084,914)","(1,467,806)","(6,066,823)","(939,286)","(9,558,829)"
"The effect of time value of money and changes in the time
value of money, based on the locked-in interest rates:
Interest accreted on present value cash flows","89,044",-,-,"324,296","413,340"
,"83,395",-,-,"302,656","386,051"
Interest accreted on risk adjustment,"5,649",-,-,"21,640","27,289"
The effect of financial risk and changes in financial risk,"4,764",-,-,"11,875","16,639"
"Foreign exchange differences on changes in the carrying amount
of groups of insurance contracts",-,-,-,"70,226","70,226"
"Total insurance finance expense from reinsurance
contracts","93,808",-,-,"406,397","500,205"
Net insurance finance expenses,"(991,106)","(1,467,806)","(6,066,823)","(532,889)","(9,058,624)"
