Column,"Cash
and bank
balances","Deposits
with financial
institutions","Loans and
receivables
from related
parties","Other
receivables",Total
,Shs 000,Shs 000,Shs 000,Shs 000,Shs 000
Loss allowance at 31 December 2017 under IAS 39,-,-,-,-,-
Changes on application of IFRS 9,5,"7,499",78,-,"7,582"
Balance as at 1 January 2018 – As restated,5,"7,499",78,-,"7,582"
Net staging transfers,-,-,-,-,-
Changes in PDs/LGDs/EADs,-,-,-,-,-
New financial assets originated/purchased,9,"(1,744)",172,484,"(1,079)"
Net charge to profit or loss in the year,9,"(1,744)",172,484,"(1,079)"
Other movements with no P&L impact:,,,,,
Financial assets derecognised,-,-,-,-,-
Write-offs,-,-,-,-,-
Balance as at 31 December 2018,14,"5,755",250,484,"6,503"
Net staging transfers,-,-,-,-,-
Changes in PDs/LGDs/EADs,-,-,-,-,-
New financial assets originated or purchased,(11),"(3,949)",(221),(484),"(4,665)"
Net charge to profit or loss in the year,(11),"(3,949)",(221),(484),"(4,665)"
Other movements with no P&L impact:,,,,,
Financial assets derecognised,-,-,-,-,-
Write-offs,-,-,-,-,-
Balance as at 31 December 2019,3,"1,806",29,-,"1,838"
