Branch Name,Town,Branch name,Town,Branch name,Town
Head Office Branch,Nairobi,Mariakani,Kilifi,Keroka,Kisii
Wabera Street,Nairobi,Mtwapa,Kilifi,Kisumu,Kisumu
Market Street,Nairobi,Malindi,Malindi,Sare Awendo,Kisumu
Afya Centre,Nairobi,Watamu,Malindi,Suna Migori,Migori
Kenyatta Market,Nairobi,Mombasa,Mombasa,Siaya,Siaya
Tom Mboya,Nairobi,Cannon House,Mombasa,Luanda,Suba
Ronald Ngala,Nairobi,Mombasa,Mombasa,Kabarnet,Baringo
Dandora,Nairobi,Chaani,Mombasa,Kapsabet,Baringo
Enterprise Road,Nairobi,Kisauni,Mombasa,Bomet,Bomet
Viwandani,Nairobi,Likoni,Mombasa,Kajiado,Kajiado
Nacico,Nairobi,Ukunda,Mombasa,Ongata Rongai,Kajiado
Githurai,Nairobi,Taveta,Mombasa,Ngong Hills,Kajiado
Karen,Nairobi,Voi,Mombasa,Kericho,Kericho
Jogoo Road,Nairobi,Embu,Embu,Nanyuki,Laikipia East
Eastleigh,Nairobi,Isiolo,Isiolo,Nyahururu,Laikipia East
Ngara,Nairobi,Kitui,Kitui,Gilgil,Nakuru
Westlands,Nairobi,Matuu,Kitui,Molo,Nakuru
Nyeri,Nyeri,Machakos,Machakos,Naivasha,Nakuru
Karatina,Nyeri,Athi River,Machakos,Nakuru,Nakuru
Kerugoya,Kirinyaga,Mlolongo,Machakos,Nandi Hills,Nakuru
Wanguru (Mwea),Kirinyaga,Kangundo,Machakos,Narok,Narok North
Muranga,Murang’a,Emali,Machakos,Kitale,Trans-Nzoia
Ruiru,Thika,Kibwezi,Makueni,Eldoret,Uasin Gishu
Thika,Thika,Makueni,Makueni,Bungoma,Bungoma
Kiambu,Kiambu,Meru,Meru,Webuye,Bungoma
Uthiru,Kiambu,Maua,Meru North,Busia,Busia
Kikuyu,Kiambu,Chuka,Meru South,Kakamega,Kakamega
Limuru,Kiambu,Mwingi,Mwingi,Mumias,Mumias
Karuri,Kiambu,Homa Bay,Homa Bay,,
Kilifi,Kilifi,Kisii,Kisii,,
