Column,2019,2018
,Shs’000,Shs’000
Britam Asset Managers Limited,"19,949","22,781"
Britam Asset Managers Company (Uganda) Limited,"5,741",-
Britam General Insurance Company (Kenya) Limited,"46,931","607,870"
Britam Insurance Company (Uganda) Limited,"57,392","78,374"
Britam Insurance Company Limited (South Sudan),"114,552","80,553"
Britam Insurance Company (Rwanda) Limited,"10,566","14,868"
Britam Properties Limited,"225,591","182,075"
Britam Companhia De Seguros De Mozambique S.A.,"69,114","41,603"
Britam Insurance Company Limited (Malawi),"131,826","106,003"
Britam Insurance (Tanzania) Limited,"144,357","89,957"
Total,"826,019","1,224,084"
Less: Provision for expected credit losses,(29),(250)
Net amount at end of year,"825,990","1,223,834"
Movement in provision expected credit losses,,
At 1 January,250,-
(Decrease)/Increase,(221),250
At 31 December,29,250
