2018,"Long term
insurance
business","Short term
insurance
business","Asset
Management",Property,"Corporate
and other",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Gross revenue,"11,833,405","12,491,705","740,326","60,576",-,"25,126,012"
"Insurance premium ceded to
reinsurers","(228,015)","(3,035,436)",-,-,-,"(3,263,451)"
Net revenue,"11,605,390","9,456,269","740,326","60,576",-,"21,862,561"
Net income from investment property,"552,476",-,"(1,529)","(44,670)",(8),"506,269"
Interest and dividend income,"4,468,313","984,332","7,277",-,"1,416,621","6,876,543"
Net realised gains on financial assets,"10,296","24,225",-,-,"7,377","41,898"
"Net unrealised fair value gains on
financial assets at fair value through
profit or loss","(1,950,129)","(99,213)","(12,569)",-,"(1,029,260)","(3,091,171)"
Commission earned,"98,440","758,941",-,-,-,"857,381"
Other operating income,"15,422","134,297","45,447",53,"10,426","205,645"
Net income,"14,800,208","11,258,851","778,952","15,959","405,156","27,259,126"
"Insurance claims and loss
adjustment expenses","4,141,447","6,563,266",-,-,-,"10,704,713"
"Insurance claims recovered from
reinsurers","(242,342)","(1,388,064)",-,-,-,"(1,630,406)"
"Change in actuarial value of
policyholders benefits","5,172,833",-,-,-,-,"5,172,833"
"Net insurance benefits and
claims","9,071,938","5,175,202",-,-,-,"14,247,140"
"Interest payments/ increase in unit
value","1,688,638",-,-,-,-,"1,688,638"
Acquisition expenses,"1,560,219","1,646,319","107,384",-,-,"3,313,922"
Finance costs,-,-,-,"212,745","716,501","929,246"
Expenses,"3,081,462","4,332,067","572,393","86,875","321,521","8,394,318"
Net expenses,"15,402,257","11,153,588","679,777","299,620","1,038,022","28,573,264"
Reportable segment profit,"(602,049)","105,263","99,175","(283,661)","(632,866)","(1,314,138)"
Share of loss of associate,"(173,064)",-,-,-,"(116,592)","(289,656)"
Segment (loss)/profit before tax,"(775,113)","105,263","99,175","(283,661)","(749,458)","(1,603,796)"
Tax expense,"207,545","(99,410)","(68,497)","63,086","(17,139)","85,585"
Segment (loss)/profit after tax,"(567,568)","5,854","30,678","(220,575)","(766,597)","(1,518,209)"
