Group,Due on demand or,Column,Column,Column,Column
At 31 December 2007,0 - 4 months,5-12 months,1-5 years,Over 5 years,Totals
,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Liabilities,,,,,
Insurance contract liabilities,"296,089","850,000","2,400,000","605,778","4,151,867"
"Payable under deposit
administration contracts","75,000","138,000","609,000","442,923","1,264,923"
"Liabilities under investment
contracts","15,000","20,544","231,691",-,"267,235"
"Creditors arising out of reinsurance
arrangements","62,019",-,-,-,"62,019"
Bank loan,-,-,"122,322",-,"122,322"
Other payables,"154,461","195,395",-,-,"349,856"
Overdraft,-,"32,910",-,-,"32,910"
"Total financial liabilities (expected
maturity dates)","602,569","1,236,849","3,363,013","1,048,701","6,251,132"
"Available for sale quoted
investments",-,-,"3,377,797",-,"3,377,797"
Investments at fair value through profit and loss:,,,,,
- quoted investments,"1,253,831","2,930,177",-,-,"4,184,008"
- government securities,"56,366","21,921","549,866","107,759","735,912"
- Unit trusts,"397,729",-,-,-,"397,729"
"Government securities held to
maturity",-,-,"133,884","193,574","327,458"
Corporate bond,-,-,"2,011",-,"2,011"
Mortgage loans,"2,900","8,344","134,096","620,962","766,302"
Loans to policyholders,"18,500","42,813","237,570",465,"299,348"
"Receivables arising out of
reinsurance arrangements","3,949",-,-,-,"3,949"
"Receivables arising out of direct
insurance arrangements",-,"238,683",-,-,"238,683"
"Reinsurers’ share of insurance
Liabilities","8,756","25,135","70,970","109,121","213,982"
"Loan and receivables from related
parties",-,"38,412",-,-,"38,412"
Other receivables,"83,632","90,818","24,037",-,"198,487"
Deposits with financial institutions,-,"66,925",-,-,"66,925"
Cash and Bank balances,"148,472",-,-,-,"148,472"
"Total financial assets (expected
maturity dates)","1,974,135","3,463,228","4,530,231","1,031,881","10,999,475"
