Material Topic,Material sub themes,"GRI Topic
Standards","Related
SDG(s)","UNGC
Principles"
Positive Impact to our People,"The Customer Experience:
Product & Services
Awareness Creation",GRI 418-1,"4, 10 & 17",9
,"Customer Engagement &
Retention",GRI 416 & 417,,10
,Service Quality & Assurance,,,"7,8 & 9"
,"The Employee Experience:
Diversity, Equity and Inclusion",GRI 405,"3,4,5,8 & 17","1,2,3,4,5 & 6"
,"Talent Acquisition &
Development",GRI 401,,1 & 6
,Training & Development,GRI 404,,"1,2,4 & 6"
,Employee Benefits,GRI 401 & 403,,"1,2 & 6"
,Employee Health & Safety,"GRI 401, 403, 406
and 409",,1 & 2
Healthier lives and wellbeing,"Access to Sustainable
Healthcare",GRI 203-1,"3,4,8,10 &17","7,8 & 9"
,Awareness & Education,GRI 203-2,,1 & 10
,Community Outreach,GRI 413 & 203,,"2,6,7 & 8"
"Collaboration, Innovation and Technology","Innovative & Creative
advancements",GRI 203,9 &17,9
,"Technology Advancement &
Digital Transformation",,,
,Strategic Partnerships,,,
Safeguarding our Environment,Climate Action,GRI 302,13 & 17,"7,8 & 9"
,Water Stewardship,GRI 303,,
,Waste Management,GRI 306,,
,Biodiversity,GRI 101,,
Responsible Business,"Transparency, Risk
Management & Compliance
Management","GRI 205, 206 & 207
GRI 204, 308 & 414","10,16 & 17",10
,"Sustainable Supply Chain
Management",,,"1,2 & 10"
,Sustainable Investment,GRI 201 – 2:,,"1,2 & 10"
,Sustainable Underwriting,,,7&8
