Column,2019,2018
,Shs’000,Shs’000
Total profit as per segmental reporting,"2,712,226","(1,518,209)"
Income from intra-segmental adjustments,-,-
Intercompany loan interest income,"(180,031)","(78,317)"
Rental income from related parties,"(61,235)","(49,850)"
Management fees from related parties,"(97,812)","(139,789)"
Dividend from subsidiaries,"(667,000)","(692,073)"
Britam Tower LLP net income,"705,494",-
Property and equipment revaluation adjustment (on part of building occupied by related parties),"236,169",-
Other income (mark up),"(8,688)","(10,501)"
Total adjustments on income,"(73,103)","(970,530)"
Expenses from intra-segmental adjustments,-,-
Intercompany loan interest expense,"180,031","78,317"
Mark up charge,"8,688","10,501"
Subsidiary Loan guarantee,"485,654",-
Management fees expense from related parties,"97,812","139,786"
IFRS 16 Interest and depreciation adjustment,"70,082",-
Rental income to related parties,"61,235","49,850"
Total adjustments on expenses,"903,502","278,454"
Profit as per the consolidated income statement,"3,542,625","(2,210,285)"
