Column,Notes,"Share
Capital","Other
reserves","Retained
Earnings","Proposed
Dividends","Total
equity"
Year ended 31 December 2010,,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At start of year,,"150,000","3,207,206","1,729,892","120,000","5,207,098"
Total comprehensive income for the year,,,,,,
Profit of the year,,-,-,"2,713,784",-,"2,713,784"
Other comprehensive income:,,,,,,
Gains on revaluation of land and buildings,15,-,"13,533",-,-,"13,533"
"Fair value losses on available-for-sale
financial assets",18(ii),-,"2,755,565",-,-,"2,755,565"
Total other comprehensive income,,-,"2,769,098",-,-,"2,769,098"
Total comprehensive income for the year,,-,"2,769,098","2,713,784",-,"5,482,882"
Transfer to other reserves,,-,"151,632","(151,632)",-,-
Transactions with owners,,,,,,
Dividends:,,,,,,
- Final for 2009 paid,,-,-,,"(120,000)","(120,000)"
- Proposed final for 2010,13,-,-,"(200,000)","200,000",-
Total transactions with owners,,-,-,"(200,000)","80,000","(120,000)"
At end of year,,"150,000","6,127,936","4,092,044","200,000","10,569,980"
