Maximum insured loss,Column,Column,Column,Column,Column,Column
"Class of
business",,Shs Millions,0 – 15,15 – 250,Over 250,Total
,,,Shs’000,Shs’000,Shs’000,Shs’000
"Non life
Insurance
business –
Sum assured",,Gross,"264,876,757","657,728,424","6,538,389,427","7,460,994,608"
,,Net,"251,900,470","510,584,449","1,451,442,208","2,213,927,127"
"Life term
business",Ordinary Life,Gross,"238,082,772","9,320,805",‑,"247,403,577"
,,Net,"238,082,772","6,449,728",‑,"244,532,500"
,Annuities,Gross,"3,397,770",‑,‑,"3,397,770"
,Unit Linked,Gross,"10,360,646","54,725",‑,"10,415,371"
,,Net,"10,360,646","54,725",‑,"10,415,371"
,Credit Life,Gross,"343,959,793","27,377,066","1,358,600","372,695,460"
,,Net,"331,137,829","12,342,320","1,358,600","344,838,749"
,Group Life,Gross,"70,556,647","26,446,732","912,166,521","1,009,169,900"
,,Net,"70,438,933","21,457,635","348,198,229","440,094,797"
Total,,Gross,"931,234,385","720,927,752","7,451,914,548","9,104,076,686"
,,Net,"901,920,650","550,888,857","1,800,999,037","3,253,808,544"
