Subject,Definition
Admission,The admission of the Shares to MIMS becoming effective in accordance with the NSE Rules;
Agent,An agent contracted to sell the products of the Group in return for a commission;
AKI,Association of Kenya Insurers;
Allocation Policy,"Allocation of the issued and fully paid Offer Shares of the Company into the 4 categories of investors
categories as provided in Section 1.17 of this Prospectus;"
Applicant(s),The proposed Investor or Investors who submit Application Forms for the Offer Shares;
"“Application Form” or “Share
Application Form”",The Application Form enclosed within this Prospectus;
Application Money,"Subscription Price per Offer Share payable by Applicants and in the case of every application with a
CDS Account, an additional charge of Kshs 30/= per Application;"
Articles,The Articles of Association of British-American Investments Company (Kenya) Limited;
Authorised Cheque,A banker’s or Authorised Selling Agents cheque not exceeding one million Kenya Shillings;
Authorised Selling Agent,"The parties set out in Appendix 5 (Authorised Selling Agents) of this Prospectus, being parties duly
authorised by the Company to receive Application Forms together with the Application Money;"
Asset Management Company,British-American Asset Managers Limited;
Bancassurance,"Partnership or relationship between a bank and an insurance company whereby the insurance company
uses the bank sales channel in order to sell insurance products;"
BAKHL,British-American Kenya Holdings Limited
Board,The Board of Directors of the Company;
Bps,"Represents movement in interest rates whereby 1% change = 100 basis points, and 0.01% = 1 basis
point;"
Britam,Britam Insurance Company (Uganda) Limited;
BAICL,British-American Investments Company (Kenya) Limited;
Brownfield Operations,Acquisition of an existing operation;
Business Day,"Any day other than Saturday, Sunday or official public holiday in the Republic of Kenya;"
CAGR,Means compounded annual growth rate;
Capital Markets Legislation,"Means (a) the Capital Markets Act, Chapter 485A of the Laws of Kenya and all subsidiary legislation
and rules and guidelines promulgated thereunder (b) the rules of the NSE (c) Companies Act and (d)
any law applicable to capital markets in Kenya;"
CBA,Commercial Bank of Africa;
CDA,"Central Depository Agent appointed by the Central Depository and Settlement Corporation Limited,
being a) any member of a securities exchange; or (b) a non-bank subsidiary of any bank or financial
institution licensed under the Banking Act; or (c) any institutional investor; or (d) any body corporate
of a type prescribed by the Authority. CDA is entitled to open a Central Depository Account on behalf
of the Applicant;"
CDS,"The Central Depository System, a versatile computer system that facilitates holding of securities in
electronic accounts thereby facilitating faster and easier processing of transactions at the NSE. The
Central Depository System was established by Central Depository and Settlement Corporation
Limited pursuant to the Central Depositories Act of 2000;"
