Column,2010,2009,2008,2007,2006
,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000,Kshs’ 000
Interest from government securities,"252,143","184,890","115,023","99,793","94,031"
Interest on bank deposits,"26,414","30,235","25,781","6,510","6,993"
Other interest receivable,"129,236","150,718","156,070","138,874","106,563"
"Rental income from investment
properties","54,876","55,326","46,582","46,200","45,634"
"Fair value gain on investment
property (Note 17)","72,274","163,105","175,326","83,397","25,914"
"Dividends receivable from equity
investments","254,684","188,442","119,357","57,878","41,830"
"Realised gain on government
securities at fair value",(495),"1,208","15,606",-,-
"Realised losses on sale of available
for sale financial assets","247,778","(4,507)",-,"(1,416)","43,545"
"Realised gains on sale of non-
current assets","86,040","1,350","6,558","31,490",-
"Fair value gains/losses on financial
assets at fair value through profit
or loss","3,561,685","(574,598)","(151,166)","2,029,842","744,839"
,"4,684,634","196,169","509,137","2,492,568","1,109,349"
