Column,Notes,"31 Dec 10
Kshs’000","31 Dec 09
Kshs’000","31 Dec 08
Kshs’000","31 Dec 07
Kshs’000","31 Dec 06
Kshs’000"
Capital Employed,,,,,,
Share capital,14,"150,000","150,000","150,000","150,000","150,000"
Other reserves,12,"6,127,936","3,207,206","3,728,524","3,106,964","711,527"
Retained earnings,,"4,092,044","1,729,892","2,448,941","2,361,890","444,524"
Proposed dividends,13,"200,000","120,000","120,000","120,000","60,000"
Shareholders’ funds,,"10,569,980","5,207,098","6,447,465","5,738,854","1,366,051"
Assets,,,,,,
Property and equipment,15,"581,420","520,933","428,423","263,446","227,322"
Intangible assets,16,"91,878","78,098","64,725","55,725","65,773"
Investment property,17,"1,173,571","1,092,785","844,115","869,958","744,471"
Available for sale quoted investments,18(ii),"5,979,690","3,282,105","3,991,729","3,377,797","971,903"
Financial assets at fair value through profit and loss:,,,,,,
-quoted ordinary shares,18(i),"7,535,861","4,608,842","4,971,225","4,184,008","1,827,619"
-unquoted ordinary shares,19,"50,490",-,-,-,-
-government securities,25(i),"361,360","523,561","648,913","735,912","861,056"
-unit trusts,26,"4,265,612","2,122,003","926,914","397,729","137,965"
Government securities held to maturity,25(ii),"2,109,214","1,573,543","754,461","327,458","94,495"
Corporate bond,,"305,717","287,848","104,223","2,009","7,300"
Mortgage loans,20,"576,464","659,877","713,347","766,302","731,989"
Loans to policy holders,21,"303,418","357,789","362,962","299,348","256,040"
Secured loans,,-,-,-,-,"63,312"
"Receivables arising out of reinsurance
arrangements",,"10,081","54,090","48,016","3,946","1,673"
"Receivables arising out of direct insurance
arrangements",,"161,277","196,757","198,090","238,682","130,504"
Reinsures’ share of insurance liabilities,22,"463,893","275,956","203,291","213,982","227,197"
Receivables from related parties,42,"2,696","33,060","48,796","38,412","32,221"
Deferred acquisition costs,23,"73,461","52,941","34,660","19,182","15,961"
Deferred income tax asset,37,"11,789","22,662","6,246","6,320",-
Current income tax receivable,,-,"13,785",-,-,-
Non-current assets held for sale,,-,-,-,-,"92,087"
Other receivables,24,"388,547","159,492","196,101","211,426","175,289"
Deposits with financial institutions,40,"500,102","206,640","421,448","66,925","29,251"
Cash and bank balances,40,"415,376","193,040","109,971","148,472","100,764"
Total assets,,"25,361,917","16,315,807","15,077,656","12,227,043","6,794,192"
Liabilities,,,,,,
Insurance contract liabilities,28,"6,346,198","4,950,516","4,493,616","4,151,867","3,480,013"
"Amount payable under deposit administration
contracts",34,"3,268,977","2,754,617","1,840,841","1,264,923","942,347"
Liabilities under investment contracts,33,"3,183,016","1,640,902","747,582","267,235","93,692"
Unearned premium,36,"715,745","567,373","388,508","207,499","194,234"
"Creditors arising from reinsurance
arrangements",,"60,011","17,334","2,438","62,019","74,143"
Retirement benefit liability,44,"25,715","35,433","23,707",-,-
Bank loan,35,"749,318","747,618","777,416","122,322","185,083"
Other payables,38,"418,408","283,764","289,787","349,856","309,230"
Dividends payable,,-,"60,000",-,-,"30,000"
Overdraft,40,"1,360","51,152","61,334","32,910","92,894"
Current income tax payable,,"23,189",-,"4,962","29,558","26,505"
Total liabilities,,"14,791,937","11,108,709","8,630,191","6,488,189","5,428,141"
Net assets,,"10,569,980","5,207,098","6,447,465","5,738,854","1,366,051"
