Year ended 31 December 2023,Life Risk,Life Savings,Non-Life,Total
,Shs'000,Shs'000,Shs'000,Shs'000
Allocation of the premiums paid,"(1,208,741)","(18,066)","(8,342,771)","(9,569,578)"
Amounts recovered from reinsurance:,"1,117,827",-,"2,620,626","3,738,453"
"Incurred insurance service expenses:
Claims
Other movements related to current service","987,457",-,"3,476,935","4,464,392"
,"862,154",-,"3,452,790","4,314,944"
,"125,303",-,"24,145","149,448"
"Changes that relate to past service (changes in fulfilment cash flows
reinsurance LIC):
Changes in estimates in LIC fulfilment cash flows
Experience adjustments in claims and other insurance service expenses in LIC","(87,152)",-,"(733,581)","(820,733)"
,"261,300",-,"3,962,518","4,223,818"
,"(348,452)",-,"(4,696,099)","(5,044,551)"
"Changes that relate to future service:
Loss recovery related to losses on underlying insurance contracts at initial
recognition
Loss recovery and reversals of recoveries related to underlying insurance
contracts losses - subsequent measurement","224,719",-,"(85,569)","139,150"
,"134,611",-,"114,068","248,679"
,"90,108",-,"(199,637)","(109,529)"
Changes in risk of non-performance,"(7,197)",-,"(37,159)","(44,356)"
Total net expenses from reinsurance contracts,"(90,914)","(18,066)","(5,722,145)","(5,831,125)"
Year ended 31 December 2022,,,,
Allocation of the premiums paid,"(686,260)","(11,622)","(5,027,441)","(5,725,323)"
Amounts recovered from reinsurance:,"384,592",-,"2,449,163","2,833,755"
Incurred insurance service expenses:,"576,213",-,"1,979,198","2,555,411"
Claims,"631,969",-,"1,978,726","2,610,695"
Expenses,(5),-,"(2,684)","(2,689)"
Other movements related to current service,"(55,751)",-,"3,156","(52,595)"
Changes that relate to past service (changes in fulfilment cash flows):,"(143,543)",-,"675,882","532,339"
Changes in estimates in LIC fulfilment cash flows,"(346,548)",-,"4,463,827","4,117,279"
Experience adjustments in claims and other insurance service expenses in LIC,"203,005",,"(3,787,945)","(3,584,940)"
Changes that relate to future service:,"(48,078)",-,"(182,352)","(230,430)"
"Loss recovery related to losses on underlying insurance contracts at initial
recognition","6,659",-,"362,570","369,229"
"Loss recovery and reversals of recoveries related to underlying insurance
contracts losses - subsequent measurement","(54,737)",-,"(544,922)","(599,659)"
Changes in risk of non-performance,-,-,"(23,565)","(23,565)"
Total net expenses from reinsurance contracts,"(301,668)","(11,622)","(2,578,278)","(2,891,568)"
