Column,Carrying,0 – 3,4 -12,1-5,Totals
At 31 December 2024,Values,Months,Months,Years,
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Liabilities,,,,,
Lease liability,"173,939","64,432","109,507",-,"173,939"
Provisions and other payables,"2,157,319","381,618","150,760","1,624,941","2,157,319"
Total financial liabilities,"2,331,258","446,050","260,267","1,624,941","2,331,258"
,Carrying,0 – 3,4-12,1-5,Totals
At 31 December 2023,Values,Months,Months,Years,
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Liabilities,,,,,
Borrowings,"1,567,894","39,919","1,218,069","1,554,304","2,812,292"
Lease liability,"38,400","16,892","28,709",-,"45,601"
Provisions and other payables,"1,922,618","357,790","141,347","1,523,481","2,022,618"
Total financial liabilities,"3,528,912","414,601","1,388,125","3,077,785","4,880,511"
