GROUP,External credit rating/credit quality grouping,Column,Column,Column,Column,Column
,,2010,2009,2008,2007,2006
,,Kshs’000,Kshs’000,Kshs’000,Kshs’000,Kshs’000
Government securities held for trading,B+,"361,360","523,561","648,913","735,912","861,056"
Government securities held to maturity,B+,"2,109,214","1,573,543","754,461","327,458","94,495"
Corporate bond,Group 2,"305,717","287,848","104,223","2,011","7,300"
Unit trusts,Group 2,"4,265,612","2,122,003","926,914","397,729","137,965"
Mortgage loans,Group 2,"576,464","659,877","713,347","766,302","731,988"
Secured loans,Group 2,-,-,-,-,"63,312"
Loans to policy holders,Group 2,"303,418","357,789","362,953","299,348","256,040"
"Receivable arising out of reinsurance
arrangements",Group 2,"10,081","54,090","48,016","3,949","1,673"
"Receivables out of direct insurance
arrangements",Group 2,"161,277","196,757","198,090","238,683","130,504"
"Reinsures’ share of insurance contract
liabilities",Group 2,"463,893","275,956","203,291","213,982","227,197"
Other receivables,Group 2,"388,547","151,506","208,688","219,241","263,462"
Receivable from related parties,Group 2,"2,696","33,060","48,796","38,412","32,221"
Deposits with financial institutions,Group 2,"500,102","206,640","421,448","66,925","29,251"
Cash balances,Group 2,"415,376","193,040","109,831","148,472","100,764"
,,"9,863,757","6,635,670","4,748,970","3,458,424","2,937,228"
