Column,Notes,"2021
KShs’000","2020
KShs’000"
Revenue,8,"2,207,113","2,101,097"
Direct costs,9,"(470,857)","(514,837)"
Other gains,10,"72,033","88,859"
Selling and distribution costs,11,"(247,194)","(227,779)"
Administrative expenses,12(a),"(1,592,418)","(1,593,760)"
Provision for expected credit losses,12(b),"129,668","(49,205)"
Finance costs,13,"(121,041)","(126,394)"
Loss before taxation,14,"(22,696)","(322,019)"
Income tax (credit)/expense,15,"(35,447)","56,149"
Loss from continuing operations,,"(58,143)","(265,870)"
Profit from discontinued operations,33,-,
Loss after tax for the year,,"(58,143)","(215,310)"
Other comprehensive income,,-,-
Comprehensive loss for the year,,"(58,143)","(215,310)"
