Revenue,8,"2,101,097","2,957,119"
Direct costs,9,"(514,837)","(957,482)"
Other gains,10,"88,859","126,439"
Selling and distribution costs,11,"(227,779)","(408,434)"
Administrative expenses,12(a),"(1,593,760)","(2,115,125)"
Provision for expected credit losses,12(b),"(49,205)","6,696"
Finance costs,13,"(126,394)","(137,928)"
Loss before taxation,14,"(322,019)","(528,715)"
Income tax credit,15,"56,149","178,666"
Loss from continuing operations,,"(265,870)","(350,049)"
,32,"50,560",
Total loss after tax for the year,,"(215,310)","(372,661)"
Other comprehensive income,,-,-
Total comprehensive loss for the year,,"(215,310)","(372,661)"
