Column,NaMe OF SHaReHOlDeR,NO. OF SHaReS,%
1,"aga Khan Fund for economic Development,S.a","82,048,626",45.04
2,Societe de Promotion et de'participation pour la Cooperation economique (PROPaRCO),"10,892,900",5.98
3,The Jubilee Insurance Company of Kenya limited,"7,722,106",4.24
4,Industrial Promotion Services (Kenya) limited,"7,697,088",4.23
5,aga Khan University Foundation,"6,851,000",3.76
6,PDM (Holdings) limited,"6,607,440",3.63
7,Standard Chartered Nominees - Non residents a/C 9287P,"6,251,643",3.43
8,Craysell Investments limited,"6,147,233",3.37
9,CFC Stanbic Nominees limited a/C 1031144,"2,804,100",1.54
10,CFC Stanbic Nominees limited a/C 1031143,"2,407,488",1.32
11,Others,"42,744,484",23.46
,,"182,174,108",100.00
