Column,NaMe OF DIReCTOR,NO: OF BOaRD MeeTINgS aTTeNDeD
1,Francis Okomo-Okello,4
2,Mahmud Jan Mohamed,4
3,Teddy Mapunda (Mrs),4
4,ameer Kassim-lakha,4
5,guedi ainache,3
6,Damien Braud,2
7,ashish Sharma,4
8,Mahmood Manji,4
9,abdulmalek Virani,3
10,Nooren Hirjani,2
11,Jean-louis Vinciguerra,0
"Notes:
1. Four (4) Board meetings were held in 2017.
2. Mr. Jean-louis Vinciguerra was represented by his alternate Mr. ashish Sharma in four (4) of the Board meetings held during the year.
3. Mr. abdulmalek Virani retired on 16.08.17
4. Mr. Nooren Hirjani was appointed on 16.08.17 and thus he could only attend two (2) meetings held in the remainder of 2017.",,
