Column,NAME OF DIRECTOR,NO. OF BOARD MEETINGS ATTENDED
1,Francis Okomo-Okello,5
2,Mahmud Jan Mohamed,3
3,Guedi Ainache,5
4,Mahmood Manji,5
5,Nooren Hirjani,5
6,Alkarim Jiwa,4
7,Aziz Boolani,2
8,Audrey Maignan,4
9,Rachel Dumba,3
10,Donald Mhaiki,1
11,Ashish Sharma,2
"Notes:
1. Five (5) Board meetings were held in 2023 (2022: 5).
2. Mr. Mahmud Jan Mohamed retired as the Managing Director on 21.07.2023 and thus was eligible to attend three (3) Board meetings only.
3. Mr. Ashish Sharma was appointed as the new Managing Director on 21.07.2023 and hence he could only attend two (2) Board meetings.
4. Mr. Aziz Boolani, (Global Head of Serena Hotels) was appointed as a director on 21.07 2023 and hence he could only attend two (2) Board
meetings.
5. Mrs. Rachel Dumba was appointed on 22.05.2023 and hence she could only attend three (3) Board meetings.
6. Mr. Donald Mhaiki was appointed on 29.08.2023 and hence he could only attend one (1) Board meeting.",,
