Column,NaMe OF SHaReHOlDeR,NO. OF SHaReS,%
1,"aga Khan Fund for economic Development,S.a","82,048,626",45.04
2,Standard Chartered Nominees - Non resident a/C 9287P,"12,750,043",7.00
3,Societe de Promotion et de'participation pour la Cooperation economique (PROPaRCO),"10,892,900",5.98
4,The Jubilee Insurance Company of Kenya limited,"7,722,106",4.24
5,Industrial Promotion Services (Kenya) limited,"7,697,088",4.23
6,aga Khan University Foundation,"6,851,000",3.76
7,PDM (Holdings) limited,"6,607,440",3.63
8,Craysell Investments limited,"4,717,433",2.59
9,Kanchanben Ramniklal Khimji Shah,"2,290,744",1.26
10,Kestrel Capital Nominees ltd,"2,000,000",1.10
11,Others,"38,596,728",21.19
,,"182,174,108",100.00
