Column,NAME OF DIRECTOR,NO. OF BOARD MEETINGS ATTENDED
1,Francis Okomo-Okello,3
2,Ashish Sharma,4
3,Guedi Ainache,4
4,Mahmood Manji,4
5,Nooren Hirjani,1
6,Alkarim Jiwa,4
7,Aziz Boolani,4
8,Audrey Maignan,3
9,Rachel Dumba,3
10,Donald Mhaiki,3
11,Mohamed Bagha,3
"Notes:
1. Four (4) Board meetings were held in 2024 (2023:5).
2. Mr. Nooren Hirjani’s Contract of employment as the Chief Financial Officer terminated on 30th June, 2024 and thus he could only attend one
(1) Board meeting.
3. Mr. Mohamed Bagha was appointed on 1.7.2024 and hence he could only attend three (3) Board meetings.
4. Ms. Audrey Maignan relocated back to France in October, 2024 and was unable attend the last Board meeting",,
