New and amendments to standards,"Effective for annual
periods beginning on
or after"
"IFRS 9, Financial Instruments",1 January 2015
"IFRS 10, Consolidated Financial Statements",1 January 2013
"IFRS 11, Joint Arrangements",1 January 2013
"IFRS 12, Disclosure of Interests in Other Entities",1 January 2013
"IFRS 13, Fair Value Measurement",1 January 2013
Amendments to IFRS 7 Disclosures - Offsetting Financial Assets and Financial Liabilities,1 January 2013
"Amendments to IFRS 9 and IFRS 7 Mandatory Effective Date of IFRS 9 and Transition
Disclosures",1 January 2015
"Amendments to IFRS 10, IFRS 11 and IFRS 12 Consolidated Financial Statements, Joint
Arrangements and Disclosure of Interests in Other Entities: Transition Guidance",1 January 2013
"IAS 19, Employee Benefits (as revised in 2011)",1 January 2013
"IAS 27, Separate Financial Statements (as revised in 2011)",1 January 2013
"IAS 28, Investments in Associates and Joint Ventures (as revised in 2011)",1 January 2013
"IAS 32, Financial Instruments: Presentation – Amendments to application guidance on
the offsetting of financial assets and financial liabilities",1 January 2014
Annual Improvements to IFRSs 2009-2011 Cycle,1 January 2013
New interpretation,
IFRIC 20 Stripping Costs in the Production Phase of a Surface Mine,1 January 2013
IFRIC 21 Levies,1 January 2014
