Express Kenya Limited,Column,Column,Column,Column,Column,Column,Column,Column
Consolidated Statement Of Changes In Equity For The Year Ended 31December 2010,,,,,,,,
,Share,Share,Revaluation,Revenue,Proposed,,Minority,Total
,capital,premium,reserve,reserve,Dividends,Total,Interest,Equity
,Kshs 000',Kshs 000',Kshs 000',Kshs 000',Kshs 000',Kshs 000',Kshs 000',Kshs 000'
Balance at 1 January 2009,"177,018","10,5","01 111,283","84,149",0,"382,951","49,155","432,106"
,,,,,,,,0
Loss for the year,,,,"5,223",0,"5,223","9,847","15,070"
Fair value changes on investments property,,,,,,0,,0
Excess depreciation transfer,,,"(3,157)","3,157",,0,"(48,308)","(48,308)"
Depreciation Transfer,,,,,,0,,0
Revaluation surplus on buildings,,,"20,000",,,"20,000",,"20,000"
Deferred tax on revaluation surplus,,,"(6,000)",,,"(6,000)",,"(6,000)"
Dididends paid,,,,,,0,,0
Deferred tax on excess depreciation transfer,,,532,(947),,(415),,(415)
Balance at 31 December 2009,"177,018","10,5","01 122,658","91,582",0,"401,759","10,694","412,453"
Net profit for the year,,,,"(5,391)",,"(5,391)","(22,700)","(28,091)"
Excess depreciation transfer,,,"(3,157)","3,157",,0,,0
Deferred tax on excess depreciation transfer,,,947,(947),,0,,0
Proposed Dividends,0,,0 0,0,0,0,,0
Balance as at 31 December 2009,"177,018","10,5","01 120,448","88,401",0,"396,368","(12,006)","384,362"
