"(Loss)/gain on disposal of property, plant and equipment",Column,"(7,659)",Column,"(1,422)",Column,381,Column,-
Management fees,,"52,947",,"53,672",,"52,947",,"53,672"
,,,,"62,455",,-,,-
Miscellaneous income*,,"157,345",,"93,503",,-,,-
,,________,,________,,________,,________
,,"223,396",,"208,208",,"53,328",,"53,672"
,=======,=======,=======,=======,=======,=======,=======,=======
*Miscellaneous income mostly relates to marketing support,,,,,,,,
Services offered in Tanzania by Car & General Trading,,,,,,,,
Limited.,,,,,,,,
