ASSETS,31/03/2025,"31/12/2024
(AUDITED)"
Cash and balances with National Bank of Rwanda,"56,577,460","52,252,663"
Due from Banks,"178,046,298","155,067,078"
Due from group companies,"1,158,029","7,884,573"
Financial assets at fair value through other comprehensive income,"72,777,376","72,788,288"
Financial assets at fair value through profit or loss,"2,888,656","2,274,180"
Debt securities at amortised cost,"149,583,247","119,507,317"
Loans and advances to customers,"397,293,339","356,291,981"
Non Current assets Held for sale,"4,205,150",-
Other assets,"1,453,134","4,978,404"
Intangible assets,"3,221,469","3,148,659"
Property and equipment and right of use assets,"28,137,227","28,405,332"
Investment Property,"15,274,137","15,274,137"
TOTAL ASSETS,"910,615,522","817,872,612"
LIABILITIES,31/03/2025,"31/12/2024
(AUDITED)"
Deposits from banks and other financial Institutions,"125,712,652","98,301,292"
Deposits from customers,"619,615,774","561,122,983"
Current income tax,"1,866,134","2,050,387"
Other liabilities,"22,620,565","14,208,362"
Long term debts,"34,824,908","38,306,418"
Deferred income tax,"4,018,954","3,912,462"
TOTAL LIABILITIES,"808,658,987","717,901,904"
EQUITY,31/03/2025,"31/12/2024
(AUDITED)"
Share capital,"15,150,000","15,150,000"
Share premium,"6,249,832","6,249,832"
Retained earnings,"73,753,550","72,041,558"
Revaluation reserve,"6,568,865","6,568,867"
Fair value through OCI reserve,"234,288","(39,549)"
TOTAL EQUITY,"101,956,535","99,970,708"
TOTAL LIABILITIES AND EQUITY,"910,615,522","817,872,612"
OFF BALANCE SHEET ITEMS,31/03/2025,"31/12/2024
(AUDITED)"
Acceptances and Letters of Credit Issued,"45,985,965","29,034,485"
Guarantees commitments given,"46,466,460","63,817,083"
