2023,Software,"Other
Intangible Assets","Capital work in
progress",Total
,KShs'000,KShs'000,KShs'000,KShs'000
,"6,894,636",-,"399,029","7,293,665"
,"438,100",-,"834,278","1,272,378"
,"785,424",-,"(783,554)","1,870"
,-,"45,516",-,"45,516"
,-,-,"( 22,570)","( 22,570)"
,"426,858",-,"13,079","439,937"
,"8,545,018","45,516","440,262","9,030,796"
,"4,394,935",-,-,"4,394,935"
,-,"9,103",-,"9,103"
,"1,096,251","2,276",-,"1,098,527"
,"351,981",-,-,"351,981"
,"5,843,167","11,379",-,"5,854,546"
,"2,701,851","34,137","440,262","3,176,250"
